#Voyager-1 (1 day average)
#  30.000 - 48.000 MeV/n Hydrogen flux derived from IIA3
#  132.834 - 154.911 MeV/n Hydrogen flux derived from IIPH
#  6.200 - 7.700 MeV/n Hydrogen flux derived from LD3
#  6.200 - 7.700 MeV/n Hydrogen flux derived from LC3
#  154.911 - 174.866 MeV/n Hydrogen flux derived from IIPH
#  48.000 - 56.000 MeV/n Hydrogen flux derived from IIA3
#  4.600 - 6.200 MeV/n Hydrogen flux derived from LD3
#  4.600 - 6.200 MeV/n Hydrogen flux derived from LC3
#  74.471 - 83.661 MeV/n Hydrogen flux derived from IIPY
#  3.000 - 4.600 MeV/n Hydrogen flux derived from LD3
#  3.000 - 4.600 MeV/n Hydrogen flux derived from LC3
#  12.800 - 17.900 MeV/n Hydrogen flux derived from IIA3
#  220.475 - 270.050 MeV/n Hydrogen flux derived from IIPH
#  270.050 - 346.034 MeV/n Hydrogen flux derived from IIPH
#  187.713 - 220.475 MeV/n Hydrogen flux derived from IIPH
#  17.900 - 30.000 MeV/n Hydrogen flux derived from IIA3
#  7.700 - 12.800 MeV/n Hydrogen flux derived from IIA3
#  174.866 - 187.713 MeV/n Hydrogen flux derived from IIPH

                      30.000 - 48.000 H(IIA3)                                    132.834 - 154.911 H(IIPH)                                  6.200 - 7.700 H(LD3)                                       6.200 - 7.700 H(LC3)                                       154.911 - 174.866 H(IIPH)                                  48.000 - 56.000 H(IIA3)                                    4.600 - 6.200 H(LD3)                                       4.600 - 6.200 H(LC3)                                       74.471 - 83.661 H(IIPY)                                    3.000 - 4.600 H(LD3)                                       3.000 - 4.600 H(LC3)                                       12.800 - 17.900 H(IIA3)                                    220.475 - 270.050 H(IIPH)                                  270.050 - 346.034 H(IIPH)                                  187.713 - 220.475 H(IIPH)                                  17.900 - 30.000 H(IIA3)                                    7.700 - 12.800 H(IIA3)                                     174.866 - 187.713 H(IIPH)                                  
Datetime              Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             
2013-09-30T00:00:00   2.779e+01   2.913e+00    91     1.944e+03   -1.000e+00     1.500e+01   3.127e+00    23     4.141e+02   1.678e-04      2.631e+01   3.684e+00    51     2.997e+04   4.312e-05      1.825e+01   3.041e+00    36     3.032e+04   4.338e-05      2.092e+01   3.885e+00    29     4.141e+02   1.678e-04      2.523e+01   4.531e+00    31     1.944e+03   7.900e-05      2.273e+01   3.315e+00    47     2.997e+04   4.312e-05      2.518e+01   3.459e+00    53     3.032e+04   4.338e-05      3.446e+01   1.039e+01    11     4.141e+02   8.388e-05      1.644e+01   2.820e+00    34     2.997e+04   4.312e-05      1.996e+01   3.079e+00    42     3.032e+04   4.338e-05      3.049e+01   5.308e+00    33     1.944e+03   1.091e-04      1.278e+01   1.926e+00    44     4.141e+02   1.678e-04      1.231e+01   1.527e+00    65     4.141e+02   1.678e-04      2.065e+01   3.012e+00    47     4.141e+02   1.678e-04      2.947e+01   3.449e+00    73     1.944e+03   -1.000e+00     2.950e+01   5.214e+00    32     1.944e+03   1.094e-04      1.681e+01   4.340e+00    15     4.141e+02   1.678e-04      
2013-10-01T00:00:00   2.612e+01   3.122e+00    70     1.596e+03   -1.000e+00     2.054e+01   4.028e+00    26     3.418e+02   1.678e-04      2.375e+01   3.852e+00    38     2.474e+04   4.312e-05      2.413e+01   3.864e+00    39     2.484e+04   4.338e-05      1.835e+01   4.005e+00    21     3.418e+02   1.678e-04      2.974e+01   5.429e+00    30     1.596e+03   7.900e-05      2.168e+01   3.563e+00    37     2.474e+04   4.312e-05      1.856e+01   3.281e+00    32     2.484e+04   4.338e-05      3.036e+01   1.073e+01     8     3.418e+02   8.388e-05      1.523e+01   2.987e+00    26     2.474e+04   4.312e-05      1.914e+01   3.332e+00    33     2.484e+04   4.338e-05      3.376e+01   6.164e+00    30     1.596e+03   1.091e-04      1.055e+01   1.927e+00    30     3.418e+02   1.678e-04      1.125e+01   1.607e+00    49     3.418e+02   1.678e-04      1.331e+01   2.662e+00    25     3.418e+02   1.678e-04      2.897e+01   3.771e+00    59     1.596e+03   -1.000e+00     3.368e+01   6.150e+00    30     1.596e+03   1.094e-04      2.036e+01   5.257e+00    15     3.418e+02   1.678e-04      
2013-10-02T00:00:00   2.197e+01   2.520e+00    76     2.082e+03   -1.000e+00     1.190e+01   2.660e+00    20     4.540e+02   1.678e-04      2.525e+01   3.896e+00    42     2.572e+04   4.312e-05      2.621e+01   3.951e+00    44     2.580e+04   4.338e-05      1.711e+01   3.355e+00    26     4.540e+02   1.678e-04      1.900e+01   3.799e+00    25     2.082e+03   7.900e-05      2.311e+01   3.609e+00    41     2.572e+04   4.312e-05      2.345e+01   3.619e+00    42     2.580e+04   4.338e-05      1.429e+01   6.390e+00     5     4.540e+02   8.388e-05      2.029e+01   3.381e+00    36     2.572e+04   4.312e-05      1.899e+01   3.256e+00    34     2.580e+04   4.338e-05      2.933e+01   5.031e+00    34     2.082e+03   1.091e-04      9.270e+00   1.567e+00    35     4.540e+02   1.678e-04      9.677e+00   1.293e+00    56     4.540e+02   1.678e-04      8.417e+00   1.837e+00    21     4.540e+02   1.678e-04      2.641e+01   3.157e+00    70     2.082e+03   -1.000e+00     1.721e+01   3.849e+00    20     2.082e+03   1.094e-04      1.635e+01   4.088e+00    16     4.540e+02   1.678e-04      
2013-10-03T00:00:00   2.629e+01   2.507e+00   110     2.499e+03   -1.000e+00     2.167e+01   3.266e+00    44     5.483e+02   1.678e-04      2.317e+01   3.017e+00    59     3.937e+04   4.312e-05      2.291e+01   2.983e+00    59     3.957e+04   4.338e-05      1.852e+01   3.177e+00    34     5.483e+02   1.678e-04      3.229e+01   4.522e+00    51     2.499e+03   7.900e-05      2.320e+01   2.922e+00    63     3.937e+04   4.312e-05      2.694e+01   3.132e+00    74     3.957e+04   4.338e-05      3.076e+01   8.530e+00    13     5.483e+02   8.388e-05      2.025e+01   2.731e+00    55     3.937e+04   4.312e-05      2.148e+01   2.796e+00    59     3.957e+04   4.338e-05      3.163e+01   4.768e+00    44     2.499e+03   -1.000e+00     1.316e+01   1.699e+00    60     5.483e+02   1.678e-04      1.316e+01   1.372e+00    92     5.483e+02   1.678e-04      1.294e+01   2.072e+00    39     5.483e+02   1.678e-04      3.551e+01   3.341e+00   113     2.499e+03   -1.000e+00     2.439e+01   4.182e+00    34     2.499e+03   1.094e-04      1.692e+01   3.784e+00    20     5.483e+02   1.678e-04      
2013-10-04T00:00:00   1.437e+01   1.937e+00    55     2.282e+03   -1.000e+00     1.185e+01   2.526e+00    22     5.013e+02   1.678e-04      1.839e+01   3.357e+00    30     2.523e+04   4.312e-05      2.104e+01   3.607e+00    34     2.484e+04   4.338e-05      1.788e+01   3.264e+00    30     5.013e+02   1.678e-04      2.149e+01   3.860e+00    31     2.282e+03   7.900e-05      2.126e+01   3.495e+00    37     2.523e+04   4.312e-05      1.276e+01   2.720e+00    22     2.484e+04   4.338e-05      2.329e+01   7.763e+00     9     5.013e+02   8.388e-05      1.839e+01   3.250e+00    32     2.523e+04   4.312e-05      1.914e+01   3.332e+00    33     2.484e+04   4.338e-05      1.968e+01   3.935e+00    25     2.282e+03   1.092e-04      8.635e+00   1.439e+00    36     5.013e+02   1.678e-04      6.886e+00   1.038e+00    44     5.013e+02   1.678e-04      1.307e+01   2.178e+00    36     5.013e+02   1.678e-04      2.200e+01   2.750e+00    64     2.282e+03   -1.000e+00     1.492e+01   3.423e+00    19     2.282e+03   1.094e-04      9.256e+00   2.927e+00    10     5.013e+02   1.678e-04      
2013-10-05T00:00:00   1.635e+01   2.076e+00    62     2.267e+03   9.293e-05      1.628e+01   2.972e+00    30     4.975e+02   1.678e-04      2.044e+01   3.672e+00    31     2.344e+04   4.312e-05      2.300e+01   3.833e+00    36     2.405e+04   4.338e-05      1.681e+01   3.177e+00    28     4.975e+02   1.678e-04      1.466e+01   3.198e+00    21     2.267e+03   7.900e-05      2.350e+01   3.811e+00    38     2.344e+04   4.312e-05      2.396e+01   3.788e+00    40     2.405e+04   4.338e-05      1.043e+01   5.215e+00     4     4.975e+02   8.388e-05      2.597e+01   4.007e+00    42     2.344e+04   4.312e-05      2.456e+01   3.835e+00    41     2.405e+04   4.338e-05      1.981e+01   3.962e+00    25     2.267e+03   -1.000e+00     7.250e+00   1.324e+00    30     4.975e+02   1.678e-04      8.357e+00   1.148e+00    53     4.975e+02   1.678e-04      9.142e+00   1.828e+00    25     4.975e+02   1.678e-04      2.457e+01   2.916e+00    71     2.267e+03   -1.000e+00     1.976e+01   3.953e+00    25     2.267e+03   1.094e-04      1.585e+01   3.845e+00    17     4.975e+02   1.678e-04      
2013-10-06T00:00:00   3.163e+01   3.335e+00    90     1.697e+03   -1.000e+00     1.639e+01   3.494e+00    22     3.625e+02   1.678e-04      1.867e+01   3.301e+00    32     2.650e+04   4.312e-05      1.971e+01   3.431e+00    33     2.573e+04   4.338e-05      1.236e+01   3.192e+00    15     3.625e+02   1.678e-04      2.145e+01   4.472e+00    23     1.697e+03   7.900e-05      2.134e+01   3.416e+00    39     2.650e+04   4.312e-05      1.904e+01   3.265e+00    34     2.573e+04   4.338e-05      3.221e+01   1.074e+01     9     3.625e+02   8.388e-05      2.188e+01   3.460e+00    40     2.650e+04   4.312e-05      2.240e+01   3.542e+00    40     2.573e+04   4.338e-05      2.753e+01   5.400e+00    26     1.697e+03   1.091e-04      1.426e+01   2.175e+00    43     3.625e+02   1.678e-04      9.956e+00   1.468e+00    46     3.625e+02   1.678e-04      1.104e+01   2.354e+00    22     3.625e+02   1.678e-04      3.244e+01   3.877e+00    70     1.697e+03   -1.000e+00     2.746e+01   5.386e+00    26     1.697e+03   1.094e-04      8.961e+00   3.387e+00     7     3.625e+02   1.678e-04      
2013-10-07T00:00:00   2.661e+01   3.136e+00    72     1.624e+03   -1.000e+00     2.775e+01   4.625e+00    36     3.502e+02   1.678e-04      2.057e+01   3.527e+00    34     2.556e+04   4.312e-05      2.084e+01   3.523e+00    35     2.580e+04   4.338e-05      2.047e+01   4.178e+00    24     3.502e+02   1.678e-04      3.021e+01   5.426e+00    31     1.624e+03   7.900e-05      2.268e+01   3.587e+00    40     2.556e+04   4.312e-05      1.563e+01   2.954e+00    28     2.580e+04   4.338e-05      1.111e+01   6.415e+00     3     3.502e+02   8.388e-05      1.701e+01   3.106e+00    30     2.556e+04   4.312e-05      1.228e+01   2.619e+00    22     2.580e+04   4.338e-05      2.434e+01   5.189e+00    22     1.624e+03   -1.000e+00     1.511e+01   2.277e+00    44     3.502e+02   1.678e-04      1.120e+01   1.584e+00    50     3.502e+02   1.678e-04      1.455e+01   2.749e+00    28     3.502e+02   1.678e-04      3.108e+01   3.885e+00    64     1.624e+03   -1.000e+00     2.759e+01   5.519e+00    25     1.624e+03   1.094e-04      1.722e+01   4.776e+00    13     3.502e+02   1.678e-04      
2013-10-08T00:00:00   3.009e+01   3.103e+00    94     1.873e+03   -1.000e+00     1.541e+01   3.214e+00    23     4.029e+02   1.678e-04      2.414e+01   3.521e+00    47     3.011e+04   4.312e-05      2.039e+01   3.264e+00    39     2.940e+04   4.338e-05      1.557e+01   3.398e+00    21     4.029e+02   1.678e-04      3.548e+01   5.474e+00    42     1.873e+03   7.900e-05      1.878e+01   3.007e+00    39     3.011e+04   4.312e-05      1.715e+01   2.899e+00    35     2.940e+04   4.338e-05      2.576e+01   9.107e+00     8     4.029e+02   8.388e-05      1.781e+01   2.928e+00    37     3.011e+04   4.312e-05      2.205e+01   3.287e+00    45     2.940e+04   4.338e-05      2.686e+01   5.076e+00    28     1.873e+03   1.091e-04      1.313e+01   1.980e+00    44     4.029e+02   1.678e-04      1.149e+01   1.496e+00    59     4.029e+02   1.678e-04      1.445e+01   2.555e+00    32     4.029e+02   1.678e-04      2.538e+01   3.250e+00    61     1.873e+03   -1.000e+00     2.871e+01   5.241e+00    30     1.873e+03   1.094e-04      1.152e+01   3.642e+00    10     4.029e+02   1.678e-04      
2013-10-09T00:00:00   3.203e+01   4.242e+00    57     1.071e+03   -1.000e+00     2.770e+01   5.653e+00    24     2.340e+02   1.678e-04      1.931e+01   4.026e+00    23     1.841e+04   4.312e-05      1.859e+01   4.058e+00    21     1.736e+04   4.338e-05      1.149e+01   3.830e+00     9     2.340e+02   1.678e-04      3.398e+01   7.084e+00    23     1.071e+03   7.900e-05      1.889e+01   3.856e+00    24     1.841e+04   4.312e-05      1.909e+01   3.981e+00    23     1.736e+04   4.338e-05      2.772e+01   1.240e+01     5     2.340e+02   8.388e-05      2.204e+01   4.165e+00    28     1.841e+04   4.312e-05      1.909e+01   3.981e+00    23     1.736e+04   4.338e-05      2.180e+01   6.047e+00    13     1.071e+03   1.091e-04      1.285e+01   2.570e+00    25     2.340e+02   1.678e-04      9.053e+00   1.742e+00    27     2.340e+02   1.678e-04      1.789e+01   3.729e+00    23     2.340e+02   1.678e-04      3.150e+01   4.803e+00    43     1.071e+03   -1.000e+00     2.175e+01   6.033e+00    13     1.071e+03   1.094e-04      1.190e+01   4.858e+00     6     2.340e+02   1.678e-04      
