energy_min_MeV,energy_max_MeV,plot_energy_MeV,mean_differential_intensity,bin_integrated_intensity_per_sr,geant4_bin_probability,geant4_cumulative_probability
3.0,4.6,3.8,19.85496760710554,31.767948171368857,0.006954705997961183,0.006954705997961183
4.6,6.2,5.4,20.958196310476854,33.53311409676298,0.0073411398331749795,0.014295845831136161
6.2,7.7,6.9,23.373656467315715,35.060484700973575,0.007675515016769196,0.02197136084790536
7.7,12.8,10.2,26.53290216631726,135.31780104821803,0.029624057477817548,0.05159541832572291
12.8,17.9,15.4,29.37466724738676,149.8108029616724,0.0327968959246772,0.08439231425040011
17.9,30.0,23.9,28.71351929092805,347.43358342022947,0.07606089047587677,0.1604532047262769
30.0,48.0,39.0,27.929017025712298,502.7223064628214,0.11005702418064639,0.2705102289069233
48.0,56.0,52.0,28.777752264808363,230.2220181184669,0.05040068819157351,0.3209109170984968
74.471,83.661,79.1,25.00456284353243,229.79193253206296,0.05030653295084897,0.37121745004934575
132.834,154.911,143.9,18.895728955640937,417.1610081536849,0.09132576488325825,0.462543214932604
154.911,174.866,164.9,17.709600488485695,353.3950777477323,0.07736599334662693,0.539909208279231
174.866,187.713,181.3,16.518879914984062,212.21805026779992,0.0464592217007983,0.5863684299800292
187.713,220.475,204.1,14.817664459930313,485.45632303623694,0.10627711879142178,0.692645548771451
220.475,270.05,245.3,12.662174294670848,627.7272906583075,0.13742337811290697,0.830068926884358
270.05,346.034,308.0,10.215533159359778,776.2170715807931,0.16993107311564198,1.0
